"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
11	6123	73	0.00291040478279947	849
12	6123	58	0.00420609363388655	849
5	6131	64	0.00359230362683998	1373
6	6131	44	0.00707688240815622	3159
10	6131	38	0.0081145921535422	2645
11	6131	67	0.00334576568670469	976
12	6131	41	0.00601932127817686	1215
13	6131	35	0.00815190043275521	1944
4	6223	16	0.0148586632130188	4222
7	6223	76	0.00313091338230207	1231
8	6223	76	0.0038040227039188	1329
9	6223	88	0.00231958466196226	806
10	6223	77	0.0025616954435568	835
11	6223	68	0.00302353005704256	882
12	6223	49	0.00486499876145653	982
4	7101	71	0.0021151247254913	601
5	7101	92	0.00128464754608771	491
6	7101	88	0.0023567205740362	1052
7	7101	34	0.00873145868516898	3433
8	7101	68	0.00490601573703298	1714
9	7101	50	0.00623640193855115	2167
10	7101	50	0.00599774202653119	1955
11	7101	7	0.0307632185168934	8974
12	7101	80	0.00199653207827595	403
4	7121	11	0.020299566417028	5768
5	7121	6	0.0305882168254815	11691
6	7121	5	0.0330590546683005	14757
7	7121	5	0.0359431908356563	14132
8	7121	4	0.0422106266476227	14747
9	7121	3	0.0511373447374783	17769
10	7121	2	0.0609591478604474	19870
11	7121	3	0.0502104815708644	14647
12	7121	3	0.0619915779043844	12513
13	7121	2	0.063508504143044	15145
4	7132	47	0.00563446703080128	1601
6	7132	115	0.000775119124160194	346
7	7132	54	0.00569210735141514	2238
9	7132	96	0.00195696968999298	680
10	7132	86	0.00214752911435899	700
11	7132	81	0.00233792233435717	682
12	7132	42	0.00577161258360168	1165
4	7133	67	0.00259023593670815	736
5	7133	107	0.000724740061642151	277
6	7133	77	0.00333570050830789	1489
7	7133	61	0.00481463771949458	1893
8	7133	83	0.00308271817315316	1077
9	7133	105	0.00120871657323096	420
11	7133	72	0.00293097301448004	855
5	7134	40	0.00766602303469857	2930
6	7134	80	0.00322144884549815	1438
8	7134	106	0.000941703137388477	329
9	7134	94	0.00200013813903694	695
10	7134	45	0.0066174575709605	2157
11	7134	46	0.0061841816586222	1804
12	7134	63	0.00340351746346297	687
13	7134	32	0.00868026434969305	2070
4	7135	74	0.00167872627963286	477
5	7135	70	0.00308995672490751	1181
6	7135	48	0.00673188719104446	3005
7	7135	66	0.00416607320894459	1638
8	7135	15	0.0149956922090524	5239
9	7135	49	0.00627093669778632	2179
10	7135	36	0.00828332658395612	2700
11	7135	27	0.0113468078104432	3310
13	7135	34	0.0085544634170888	2040
5	7211	88	0.00172158469516439	658
6	7211	83	0.00275548127952901	1230
8	7211	104	0.00101612344611827	355
10	7211	73	0.00300040496263299	978
11	7211	78	0.00254703268977622	743
12	7211	81	0.00199157790438444	402
13	7211	64	0.00275923378845315	658
4	7212	58	0.00348062953995157	989
6	7212	76	0.0034790751439907	1553
7	7212	102	0.00153620770342035	604
8	7212	55	0.00649746541602384	2270
10	7212	108	0.00103694977236191	338
11	7212	97	0.00127865840280825	373
13	7212	36	0.00763192324465765	1820
4	7213	64	0.00279435779041613	794
