"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
4	3212	42	0.00549027504678875	1854
5	3212	63	0.00475031973305896	1976
6	3212	74	0.00404416704049404	1776
7	3212	103	0.00188149306214845	763
9	3212	132	0.000856930978604191	312
10	3212	14	0.0170052967317689	6222
11	3212	93	0.00226581890180987	650
5	3213	46	0.00681295856451877	2834
6	3213	108	0.00251394167382062	1104
7	3213	56	0.00672454990888444	2727
8	3213	113	0.00124285983302994	495
10	3213	125	0.000817194426679348	299
11	3213	113	0.00118171170417468	339
4	4111	9	0.0201280471914904	6797
5	4111	14	0.0157943323108286	6570
6	4111	2	0.0323533363239524	14208
7	4111	1	0.0679211597690917	27544
8	4111	1	0.0569254911807168	22672
9	4111	2	0.0503034963882557	18315
10	4111	2	0.0530028478815806	19393
11	4111	1	0.0901412476644636	25859
12	4111	1	0.0879218129094619	20466
13	4111	1	0.118493222288044	34004
4	4201	50	0.00379640378100495	1282
5	4201	34	0.00911119017626186	3790
6	4201	14	0.0156984727348907	6894
7	4201	19	0.0132666221158043	5380
8	4201	30	0.00971690414914318	3870
9	4201	20	0.0121865472822654	4437
10	4201	74	0.00364047818172874	1332
11	4201	18	0.0128489361108787	3686
12	4201	35	0.00604016754376544	1406
13	4201	91	0.00146356762030874	420
4	4211	1	0.203688019710502	68783
5	4211	1	0.114269710461281	47533
6	4211	1	0.0928222866394475	40763
7	4211	2	0.0608834386689978	24690
8	4211	2	0.049179586968803	19587
9	4211	5	0.0401549067538246	14620
10	4211	3	0.0418053710718639	15296
11	4211	2	0.0472998410440894	13569
12	4211	5	0.0493094189668134	11478
13	4211	9	0.0276056730668711	7922
4	4213	78	0.00108976333183293	368
5	4213	89	0.00235352379487081	979
6	4213	92	0.00317886102957753	1396
7	4213	80	0.00362736080526917	1471
8	4213	126	0.000818529910237901	326
9	4213	123	0.00120574583207449	439
12	4213	91	0.00170550961228654	397
4	4214	65	0.00204330624718675	690
5	4214	61	0.00497629648149395	2070
6	4214	99	0.00292837771062801	1286
7	4214	88	0.00272976778479468	1107
8	4214	112	0.00129558721988576	516
9	4214	94	0.0024389574006427	888
10	4214	126	0.00080626205976725	295
11	4214	91	0.0025412030452606	729
12	4214	52	0.00459671356460101	1070
13	4214	52	0.00481931909258808	1383
5	4221	37	0.00860634850422625	3580
6	4221	43	0.00773993455554012	3399
7	4221	10	0.0177003370905657	7178
8	4221	54	0.00656581507752181	2615
9	4221	31	0.00880002197258919	3204
10	4221	27	0.0118588850078986	4339
11	4221	16	0.0159722803201428	4582
12	4221	30	0.00796477284931801	1854
13	4221	32	0.00803916785726731	2307
5	4222	68	0.00404354139220909	1682
6	4222	49	0.00679720642785739	2985
7	4222	32	0.00930636280019431	3774
8	4222	47	0.00740694243926935	2950
9	4222	95	0.00240599851685023	876
10	4222	80	0.00309385983612382	1132
11	4222	74	0.00372640062466884	1069
12	4222	72	0.00310170765760928	722
13	4222	76	0.00208384151653483	598
4	4224	84	0.00100388524318306	339
5	4224	117	0.0010409354475782	433
6	4224	91	0.00319935511930976	1405
7	4224	85	0.00318596203970616	1292
8	4224	100	0.00221203941999874	881
9	4224	42	0.00659177675849378	2400
10	4224	11	0.0175601143525579	6425
11	4224	39	0.0066022476923506	1894
12	4224	31	0.00735044570937601	1711
13	4224	20	0.00981635711049936	2817
4	4231	76	0.00113714434626045	384
5	4231	106	0.00138470858615484	576
6	4231	56	0.00600249117046301	2636
7	4231	57	0.0065519358664855	2657
8	4231	104	0.00189065344297282	753
9	4231	121	0.00121673212667198	443
10	4231	64	0.00435381512274315	1593
13	4231	101	0.00105934418231871	304
4	4312	72	0.00135332022458601	457
5	4312	127	0.000598597982556518	249
7	4312	127	0.000885263446017424	359
8	4312	94	0.00236017826878413	940
9	4312	133	0.00068389683869373	249
10	4312	88	0.00260736950853545	954
4	5101	88	0.000592262680343986	200
5	5101	128	0.000528881751656362	220
6	5101	94	0.00308777618632316	1356
7	5101	132	0.000739774467424031	300
8	5101	124	0.000929006339840562	370
9	5101	104	0.00206542338432805	752
10	5101	122	0.000929251187528356	340
12	5101	60	0.00388357856299001	904
4	5111	26	0.00908530951647675	3068
5	5111	52	0.00594511169020992	2473
6	5111	60	0.00551518725905213	2422
7	5111	119	0.0010282865097194	417
8	5111	49	0.00722365199924675	2877
9	5111	35	0.00769040621824274	2800
10	5111	35	0.00911212782123394	3334
11	5111	58	0.00490114057837642	1406
12	5111	69	0.00314896359145097	733
13	5111	39	0.0060215353521274	1728
5	5112	43	0.00701729924129509	2919
6	5112	51	0.00655127735107059	2877
7	5112	105	0.0017976519558404	729
8	5112	27	0.0103722302429226	4131
9	5112	11	0.0159246340190612	5798
10	5112	25	0.0123535746106711	4520
11	5112	73	0.00372640062466884	1069
12	5112	44	0.00538288046396735	1253
13	5112	24	0.00878489040666272	2521
4	5114	10	0.017477671696951	5902
5	5114	8	0.0212514303847374	8840
6	5114	7	0.0204622100370943	8986
7	5114	4	0.0281607480599415	11420
8	5114	46	0.00742200740694244	2956
9	5114	7	0.0322832266747233	11754
10	5114	9	0.020123754393445	7363
11	5114	10	0.0253457988231685	7271
12	5114	7	0.0360519815272259	8392
13	5114	11	0.0267902568212705	7688
4	5116	2	0.0766151003292981	25872
5	5116	3	0.0313362437856394	13035
6	5116	11	0.0168005993382686	7378
7	5116	7	0.0229798608730818	9319
8	5116	72	0.00472286736551378	1881
9	5116	56	0.00517179818176824	1883
10	5116	50	0.00587068103179679	2148
11	5116	61	0.00457695418165593	1313
